id,gender,age_group,education,experience,region,score,qualified,selected
1,Female,25-34,Master,4,North,82,1,0
2,Male,35-44,Bachelor,8,North,78,1,1
3,Male,25-34,Master,3,West,88,1,1
4,Female,18-24,Bachelor,2,South,65,0,0
5,Non-Binary,25-34,Bachelor,5,East,74,1,0
6,Male,45-54,PhD,15,North,91,1,1
7,Female,35-44,Master,9,East,84,1,0
8,Male,25-34,Bachelor,4,West,72,0,1
9,Female,25-34,PhD,6,North,89,1,1
10,Male,35-44,Master,10,South,81,1,1
11,Female,45-54,Bachelor,12,West,70,0,0
12,Non-Binary,18-24,Bachelor,1,North,68,0,0
13,Male,25-34,Master,5,East,85,1,1
14,Female,35-44,Bachelor,7,South,79,1,0
15,Male,18-24,Bachelor,2,North,73,0,1
16,Female,25-34,Master,4,West,86,1,0
17,Male,35-44,PhD,11,East,90,1,1
18,Female,18-24,Bachelor,1,North,62,0,0
19,Male,25-34,Bachelor,3,South,77,1,1
20,Non-Binary,35-44,Master,8,West,83,1,0
21,Female,45-54,PhD,14,North,87,1,1
22,Male,25-34,Master,5,North,79,1,1
23,Female,25-34,Bachelor,4,East,75,1,0
24,Male,35-44,Bachelor,9,West,80,1,1
25,Female,35-44,Master,6,South,81,1,0
26,Male,18-24,Bachelor,2,East,69,0,0
27,Non-Binary,25-34,Master,4,North,78,1,0
28,Female,25-34,PhD,5,West,85,1,1
29,Male,45-54,Bachelor,16,South,76,1,1
30,Female,18-24,Bachelor,1,East,64,0,0
31,Male,25-34,Master,4,North,84,1,1
32,Female,35-44,Bachelor,8,West,77,1,0
33,Male,35-44,PhD,12,East,93,1,1
34,Female,25-34,Master,3,North,80,1,0
35,Non-Binary,45-54,Bachelor,13,South,71,0,0
36,Male,25-34,Bachelor,5,West,82,1,1
37,Female,45-54,Master,15,East,88,1,1
38,Male,18-24,Bachelor,2,North,70,0,1
39,Female,25-34,Bachelor,4,South,76,1,0
40,Male,35-44,Master,7,West,85,1,1
41,Female,35-44,PhD,10,North,92,1,1
42,Non-Binary,25-34,Bachelor,3,East,73,0,0
43,Male,25-34,Master,6,South,83,1,1
44,Female,18-24,Bachelor,1,West,66,0,0
45,Male,45-54,Master,14,North,86,1,1
46,Female,25-34,Master,5,East,82,1,0
47,Male,35-44,Bachelor,8,South,78,1,1
48,Female,35-44,Bachelor,6,North,74,0,0
49,Non-Binary,35-44,PhD,9,West,89,1,1
50,Male,25-34,Master,4,East,81,1,1
